Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
Singapore,147, 77,2003-04-12,14,NA,NA,NA,NA,9
South Africa,1,0,2003-04-12,0,NA,NA,NA,NA,0
Spain,1, 0,2003-04-12,0,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-12,0,NA,NA,NA,NA,0
Thailand,8, 5,2003-04-12,1,NA,NA,NA,NA,2
United Kingdom,6, 3,2003-04-12,1,NA,NA,NA,NA,0
United States,166, not available,2003-04-12,0,NA,NA,NA,NA,0
Viet Nam 5,62, 46,2003-04-12,0,NA,NA,NA,NA,4
Total,2960,1425,2003-04-12,70,NA,NA,NA,NA,119
Number of deaths,NA,NA,2003-04-14,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-14,0,NA,NA,NA,NA,0
Canada,100,"
  27",2003-04-14,-1,NA,NA,NA,NA,13
China,1418, 1088,2003-04-14,109,NA,NA,NA,NA,64
China Hong Kong Special Administrative Region 4,1190, 229,2003-04-14,82,NA,NA,NA,NA,47
China Taiwan,23, 7,2003-04-14,0,NA,NA,NA,NA,0
France,5,1,2003-04-14,0,NA,NA,NA,NA,0
Germany,6, 4,2003-04-14,0,NA,NA,NA,NA,0
Indonesia,1,"
0",2003-04-14,1,NA,NA,NA,NA,0
Italy,3,2,2003-04-14,0,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-14,0,NA,NA,NA,NA,0
Malaysia,4, 0,2003-04-14,0,NA,NA,NA,NA,1
Philippines,1, 1,2003-04-14,1,NA,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-14,0,NA,NA,NA,NA,0
Romania,1, not available,2003-04-14,0,NA,NA,NA,NA,0
Singapore,158, 84,2003-04-14,11,NA,NA,NA,NA,12
South Africa,1,0,2003-04-14,0,NA,NA,NA,NA,0
Spain,1, 0,2003-04-14,0,NA,NA,NA,NA,0
Sweden,1,"
     0",2003-04-14,1,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-14,0,NA,NA,NA,NA,0
Thailand,8, 5,2003-04-14,0,NA,NA,NA,NA,2
United Kingdom,6, 3,2003-04-14,0,NA,NA,NA,NA,0
United States,174, not available,2003-04-14,8,NA,NA,NA,NA,0
Viet Nam,63, 46,2003-04-14,1,NA,NA,NA,NA,5
Total,3169,1499,2003-04-14,213,NA,NA,NA,NA,144
Number of deaths,3,NA,2003-04-15,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-15,0,NA,NA,NA,NA,0
Canada,100,27,2003-04-15,0,NA,NA,NA,NA,13
China,1418, 1088,2003-04-15,0,NA,NA,NA,NA,64
China Hong Kong Special Administrative Region 5,1232, 243,2003-04-15,42,NA,NA,NA,NA,56
China Taiwan,23, 7,2003-04-15,0,NA,NA,NA,NA,0
France,5,1,2003-04-15,0,NA,NA,NA,NA,0
Germany,6, 4,2003-04-15,0,NA,NA,NA,NA,0
Indonesia,1,0,2003-04-15,0,NA,NA,NA,NA,0
Italy,3,2,2003-04-15,0,NA,NA,NA,NA,0
Japan,1, 0,2003-04-15,1,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-15,0,NA,NA,NA,NA,0
Malaysia,4, 0,2003-04-15,0,NA,NA,NA,NA,1
Philippines,1, 1,2003-04-15,0,NA,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-15,0,NA,NA,NA,NA,0
Romania,1, 1,2003-04-15,0,NA,NA,NA,NA,0
Singapore,162, 85,2003-04-15,4,NA,NA,NA,NA,13
South Africa,1,0,2003-04-15,0,NA,NA,NA,NA,0
Spain,1, 0,2003-04-15,0,NA,NA,NA,NA,0
Sweden,1, 0,2003-04-15,0,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-15,0,NA,NA,NA,NA,0
Thailand,8, 5,2003-04-15,0,NA,NA,NA,NA,2
United Kingdom,6, 3,2003-04-15,0,NA,NA,NA,NA,0
United States,193, not available,2003-04-15,19,NA,NA,NA,NA,0
Viet Nam,63, 46,2003-04-15,0,NA,NA,NA,NA,5
Total,3235,1515,2003-04-15,66,NA,NA,NA,NA,154
Number of deaths,3,NA,2003-04-16,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-16,0,NA,NA,NA,NA,0
Canada,103,37,2003-04-16,3,NA,NA,NA,NA,13
China,1432, 1094,2003-04-16,14,NA,NA,NA,NA,64
China Hong Kong Special Administrative Region 5,1268, 257,2003-04-16,36,NA,NA,NA,NA,61
China Taiwan,27, 10,2003-04-16,4,NA,NA,NA,NA,0
France,5,1,2003-04-16,0,NA,NA,NA,NA,0
Germany,6, 4,2003-04-16,0,NA,NA,NA,NA,0
Indonesia,1,0,2003-04-16,0,NA,NA,NA,NA,0
Italy,3,2,2003-04-16,0,NA,NA,NA,NA,0
Japan,1, 0,2003-04-16,0,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-16,0,NA,NA,NA,NA,0
Malaysia,5, 0,2003-04-16,1,NA,NA,NA,NA,1
Philippines,1, 1,2003-04-16,0,NA,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-16,0,NA,NA,NA,NA,0
Romania,1, 1,2003-04-16,0,NA,NA,NA,NA,0
Singapore,162, 85,2003-04-16,0,NA,NA,NA,NA,13
South Africa,1,0,2003-04-16,0,NA,NA,NA,NA,0
Spain,1, 0,2003-04-16,0,NA,NA,NA,NA,0
Sweden,1, 0,2003-04-16,0,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-16,0,NA,NA,NA,NA,0
Thailand,8, 5,2003-04-16,0,NA,NA,NA,NA,2
United Kingdom,6, 3,2003-04-16,0,NA,NA,NA,NA,0
United States,193, not available,2003-04-16,0,NA,NA,NA,NA,0
Viet Nam,63, 46,2003-04-16,0,NA,NA,NA,NA,5
Total,3293,1548,2003-04-16,58,NA,NA,NA,NA,159
Number of deaths,3,NA,2003-04-17,NA,NA,NA,NA,NA,NA
Australia,3, 3,2003-04-17,3,None,NA,NA,NA,0
Brazil,2, 0,2003-04-17,0,None,NA,NA,NA,0
Canada,126,46,2003-04-17,23, Yes,NA,NA,NA,12
China,1457, 1107,2003-04-17,25, Yes,NA,NA,NA,65
China Hong Kong Special Administrative Region 5,1297, 272,2003-04-17,29, Yes,NA,NA,NA,65
China Taiwan,27, 10,2003-04-17,0, Yes,NA,NA,NA,0
France,5,1,2003-04-17,0, None,NA,NA,NA,0
Germany,6, 4,2003-04-17,0, None,NA,NA,NA,0
India,1,0,2003-04-17,1, None,NA,NA,NA,0
Indonesia,1,0,2003-04-17,0, None,NA,NA,NA,0
Italy,3,2,2003-04-17,0, None,NA,NA,NA,0
Japan,2, 0,2003-04-17,1, None,NA,NA,NA,0
Kuwait,1, 0,2003-04-17,0, None,NA,NA,NA,0
Malaysia,5, 0,2003-04-17,0, None,NA,NA,NA,1
Mongolia,3,3,2003-04-17,3, None,NA,NA,NA,0
Philippines,1, 1,2003-04-17,0, None,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-17,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-17,0, None,NA,NA,NA,0
Singapore,167, 91,2003-04-17,5, Yes,NA,NA,NA,15
South Africa,1,0,2003-04-17,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-17,0, None,NA,NA,NA,0
Sweden,1, 0,2003-04-17,0, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-17,0, None,NA,NA,NA,0
Thailand,8, 5,2003-04-17,0, None,NA,NA,NA,2
United Kingdom,6, 3,2003-04-17,0, Yes,NA,NA,NA,0
United States,199, not available,2003-04-17,6,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-17,0, Yes,NA,NA,NA,5
Total,3389,1597,2003-04-17,96, ,NA,NA,NA,165
Number of deaths,3,NA,2003-04-18,NA,NA,NA,NA,NA,NA
Australia,3, 3,2003-04-18,0,None,NA,NA,NA,0
Brazil,2, 0,2003-04-18,0,None,NA,NA,NA,0
Canada,132,54,2003-04-18,6, Yes,NA,NA,NA,12
China,1512,1140,2003-04-18,30, Yes,NA,NA,NA,65
China Hong Kong Special Administrative Region 5,1358,363,2003-04-18,31, Yes,NA,NA,NA,81
China Taiwan,29,17,2003-04-18,0, Yes,NA,NA,NA,0
France,5,1,2003-04-18,0, None,NA,NA,NA,0
Germany,6, 4,2003-04-18,0, None,NA,NA,NA,0
India,1,1,2003-04-18,0, None,NA,NA,NA,0
Indonesia,1,0,2003-04-18,0, None,NA,NA,NA,0
Italy,3,2,2003-04-18,0, None,NA,NA,NA,0
Japan,4, 0,2003-04-18,0, None,NA,NA,NA,0
Kuwait,1, 0,2003-04-18,0, None,NA,NA,NA,0
Malaysia,5, 0,2003-04-18,0, None,NA,NA,NA,1
Mongolia,3,3,2003-04-18,0, None,NA,NA,NA,0
Philippines,1, 1,2003-04-18,0, None,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-18,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-18,0, None,NA,NA,NA,0
Singapore,177,100,2003-04-18,5, Yes,NA,NA,NA,16
South Africa,1,0,2003-04-18,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-18,0, None,NA,NA,NA,0
Sweden,3, 0,2003-04-18,2, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-18,0, None,NA,NA,NA,0
Thailand,7, 6,2003-04-18,0, None,NA,NA,NA,2
United Kingdom,6, 5,2003-04-18,0, Yes,NA,NA,NA,0
United States,220, not available,2003-04-18,12,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-18,0, Yes,NA,NA,NA,5
Total,3547,1749,2003-04-18,86, ,NA,NA,NA,182
Number of deaths,3,NA,2003-04-19,NA,NA,NA,NA,NA,NA
Australia,3, 3,2003-04-19,0,None,NA,NA,NA,0
Brazil,2, 0,2003-04-19,0,None,NA,NA,NA,0
Canada,132,54,2003-04-19,6, Yes,NA,NA,NA,12
China,1512,1140,2003-04-19,30, Yes,NA,NA,NA,65
China Hong Kong Special Administrative Region 5,1358,363,2003-04-19,31, Yes,NA,NA,NA,81
China Taiwan,29,17,2003-04-19,0, Yes,NA,NA,NA,0
France,5,1,2003-04-19,0, None,NA,NA,NA,0
Germany,6, 4,2003-04-19,0, None,NA,NA,NA,0
India,1,1,2003-04-19,0, None,NA,NA,NA,0
Indonesia,1,0,2003-04-19,0, None,NA,NA,NA,0
Italy,3,2,2003-04-19,0, None,NA,NA,NA,0
Japan,4, 0,2003-04-19,0, None,NA,NA,NA,0
Kuwait,1, 0,2003-04-19,0, None,NA,NA,NA,0
Malaysia,5, 0,2003-04-19,0, None,NA,NA,NA,1
Mongolia,3,3,2003-04-19,0, None,NA,NA,NA,0
Philippines,1, 1,2003-04-19,0, None,NA,NA,NA,0
Republic of Ireland,1, 1,2003-04-19,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-19,0, None,NA,NA,NA,0
Singapore,177,100,2003-04-19,5, Yes,NA,NA,NA,16
South Africa,1,0,2003-04-19,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-19,0, None,NA,NA,NA,0
Sweden,3, 0,2003-04-19,2, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-19,0, None,NA,NA,NA,0
Thailand,7, 6,2003-04-19,0, None,NA,NA,NA,2
United Kingdom,6, 5,2003-04-19,0, Yes,NA,NA,NA,0
United States,220, not available,2003-04-19,12,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-19,0, Yes,NA,NA,NA,5
Total,3547,1749,2003-04-19,86, ,NA,NA,NA,182
Number of deaths,2,NA,2003-04-21,NA,NA,NA,NA,NA,NA
Australia,3, 3,2003-04-21,0,None,NA,NA,NA,0
Brazil,2, 0,2003-04-21,0,None,NA,NA,NA,0
Canada,132,54,2003-04-21,0, Yes,NA,NA,NA,12
China,1959,1187,2003-04-21,447, Yes,NA,NA,NA,86
China Hong Kong Special Administrative Region4,1402,436,2003-04-21,44, Yes,NA,NA,NA,94
China Taiwan,29,17,2003-04-21,0, Yes,NA,NA,NA,0
France,5,1,2003-04-21,0, None,NA,NA,NA,0
Germany,6, 4,2003-04-21,0, None,NA,NA,NA,0
India,1,1,2003-04-21,0, None,NA,NA,NA,0
Indonesia,1,0,2003-04-21,0, None,NA,NA,NA,0
Italy,3,2,2003-04-21,0, None,NA,NA,NA,0
Japan,5, 0,2003-04-21,1, None,NA,NA,NA,0
Kuwait,1, 1,2003-04-21,0, None,NA,NA,NA,0
Malaysia,6, 0,2003-04-21,1, None,NA,NA,NA,1
Mongolia,3,3,2003-04-21,0, None,NA,NA,NA,0
Philippines,2, 1,2003-04-21,1, None,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-21,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-21,0, None,NA,NA,NA,0
Singapore,178,104,2003-04-21,1, Yes,NA,NA,NA,16
South Africa,1,0,2003-04-21,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-21,0, None,NA,NA,NA,0
Sweden,3, 0,2003-04-21,0, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-21,0, None,NA,NA,NA,0
Thailand,7, 5,2003-04-21,0, None,NA,NA,NA,2
United Kingdom,6, 5,2003-04-21,0, Yes,NA,NA,NA,0
United States5,39, not available,2003-04-21,NA,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-21,0, Yes,NA,NA,NA,5
Total,3861,1873,2003-04-21,495, ,NA,NA,NA,217
Number of deaths,2,NA,2003-04-22,NA,NA,NA,NA,NA,NA
Australia,3, 3,2003-04-22,0,None,NA,NA,NA,0
Brazil,2, 0,2003-04-22,0,None,NA,NA,NA,0
Canada,139,65,2003-04-22,7, Yes,NA,NA,NA,13
China,2001,1201,2003-04-22,42, Yes,NA,NA,NA,92
China Hong Kong Special Administrative Region4,1434,461,2003-04-22,32, Yes,NA,NA,NA,99
China Taiwan,29,21,2003-04-22,0, Yes,NA,NA,NA,0
France,5,1,2003-04-22,0, None,NA,NA,NA,0
Germany,7, 6,2003-04-22,1, None,NA,NA,NA,0
India,1,1,2003-04-22,0, None,NA,NA,NA,0
Indonesia,1,0,2003-04-22,0, None,NA,NA,NA,0
Italy,3,2,2003-04-22,0, None,NA,NA,NA,0
Japan,2, 0,2003-04-22,-3, None,NA,NA,NA,0
Kuwait,1, 1,2003-04-22,0, None,NA,NA,NA,0
Malaysia,6, 0,2003-04-22,0, None,NA,NA,NA,1
Mongolia,3,3,2003-04-22,0, None,NA,NA,NA,0
Philippines,2, 1,2003-04-22,0, None,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-22,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-22,0, None,NA,NA,NA,0
Singapore,186,110,2003-04-22,2, Yes,NA,NA,NA,16
South Africa,1,0,2003-04-22,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-22,0, None,NA,NA,NA,0
Sweden,3, 0,2003-04-22,0, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-22,0, None,NA,NA,NA,0
Thailand,7, 5,2003-04-22,0, None,NA,NA,NA,2
United Kingdom,6, 5,2003-04-22,0, Yes,NA,NA,NA,0
United States,38, not available,2003-04-22,-1,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-22,0, Yes,NA,NA,NA,5
Total,3947,1935,2003-04-22,80, ,NA,NA,NA,229
Number of deaths,2,NA,2003-04-23,NA,NA,NA,NA,NA,NA
Australia,4, 3,2003-04-23,1,None,NA,NA,NA,0
Brazil,2, 0,2003-04-23,0,None,NA,NA,NA,0
Canada,140,65,2003-04-23,1, Yes,NA,NA,NA,13
China,2305,1231,2003-04-23,304, Yes,NA,NA,NA,106
China Hong Kong Special Administrative Region4,1458,522,2003-04-23,24, Yes,NA,NA,NA,105
China Taiwan,37,21,2003-04-23,8, Yes,NA,NA,NA,0
France,5,1,2003-04-23,0, None,NA,NA,NA,0
Germany,7, 6,2003-04-23,0, None,NA,NA,NA,0
India,1,1,2003-04-23,0, None,NA,NA,NA,0
Indonesia,1,0,2003-04-23,0, None,NA,NA,NA,0
Italy,3,2,2003-04-23,0, None,NA,NA,NA,0
Japan,2, 0,2003-04-23,0, None,NA,NA,NA,0
Kuwait,1, 1,2003-04-23,0, None,NA,NA,NA,0
Malaysia,5, 2,2003-04-23,-1, None,NA,NA,NA,2
Mongolia,3,3,2003-04-23,0, None,NA,NA,NA,0
Philippines,2, 1,2003-04-23,0, None,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-23,0, None,NA,NA,NA,0
Romania,1, 1,2003-04-23,0, None,NA,NA,NA,0
Singapore,189,114,2003-04-23,3, Yes,NA,NA,NA,17
South Africa,1,0,2003-04-23,0,None,NA,NA,NA,0
Spain,1, 0,2003-04-23,0, None,NA,NA,NA,0
Sweden,3, 0,2003-04-23,0, None,NA,NA,NA,0
Switzerland,1, 1,2003-04-23,0, None,NA,NA,NA,0
Thailand,7, 5,2003-04-23,0, None,NA,NA,NA,2
United Kingdom,6, 5,2003-04-23,0, Yes,NA,NA,NA,0
United States,39, not available,2003-04-23,1,Yes,NA,NA,NA,0
Viet Nam,63, 46,2003-04-23,0, Yes,NA,NA,NA,5
Total,4288,2032,2003-04-23,341, ,NA,NA,NA,251
Australia,4,None,2003-04-24,0,23/Apr/2003,3,NA,NA,0
Brazil,2,None,2003-04-24,0,24/Apr/2003,2,NA,NA,0
Bulgaria,1,None,2003-04-24,1,24/Apr/2003,0,NA,NA,0
Canada,140,Yes,2003-04-24,0,24/Apr/2003,67,NA,NA,15
China,2422,Yes,2003-04-24,117,24/Apr/2003,1254,NA,NA,110
China Hong Kong Special Administrative Region^4,1488,Yes,2003-04-24,30,24/Apr/2003,567,NA,NA,109
China Taiwan,37,Yes,2003-04-24,0,23/Apr/2003,21,NA,NA,0
France,5,None,2003-04-24,0,21/Apr/2003,1,NA,NA,0
Germany,7,None,2003-04-24,0,23/Apr/2003,6,NA,NA,0
India,1,None,2003-04-24,0,21/Apr/2003,1,NA,NA,0
Indonesia,1,None,2003-04-24,0,23/Apr/2003,1,NA,NA,0
Italy,4,None,2003-04-24,1,24/Apr/2003,3,NA,NA,0
Japan,2,None,2003-04-24,0,24/Apr/2003,0,NA,NA,0
Kuwait,1,None,2003-04-24,0,20/Apr/2003,1,NA,NA,0
Malaysia,5,None,2003-04-24,0,24/Apr/2003,2,NA,NA,2
Mongolia,3,None,2003-04-24,0,17/Apr/2003,3,NA,NA,0
Philippines,2,None,2003-04-24,0,21/Apr/2003,1,NA,NA,1
Republic of Ireland,1,None,2003-04-24,0,24/Apr/2003,1,NA,NA,0
Romania,1,None,2003-04-24,0,22/Apr/2003,1,NA,NA,0
Singapore,192,Yes,2003-04-24,3,24/Apr/2003,118,NA,NA,19
South Africa,1,None,2003-04-24,0,9/Apr/2003,0,NA,NA,0
Spain,1,None,2003-04-24,0,24/Apr/2003,1,NA,NA,0
Sweden,3,None,2003-04-24,0,23/Apr/2003,2,NA,NA,0
Switzerland,1,None,2003-04-24,0,21/Apr/2003,1,NA,NA,0
Thailand,8,None,2003-04-24,1,24/Apr/2003,5,NA,NA,2
United Kingdom,6,Yes,2003-04-24,0,24/Apr/2003,6,NA,NA,0
United States,37,Yes,2003-04-24,-2,23/Apr/2003,NA,NA,NA,0
Viet Nam,63,Yes,2003-04-24,0,24/Apr/2003,49,NA,NA,5
Total,4439,NA,2003-04-24,151,NA,2117,NA,NA,263
Australia,4,None,2003-04-25,0,23/Apr/2003,3,NA,NA,0
Brazil,2,None,2003-04-25,0,24/Apr/2003,2,NA,NA,0
Bulgaria,1,None,2003-04-25,0,24/Apr/2003,0,NA,NA,0
Canada,140,Yes,2003-04-25,0,25/Apr/2003,74,NA,NA,15
China,2601,Yes,2003-04-25,179,25/Apr/2003,1277,NA,NA,115
China Hong Kong Special Administrative Region^4,1510,Yes,2003-04-25,22,25/Apr/2003,614,NA,NA,115
China Taiwan,41,Yes,2003-04-25,4,25/Apr/2003,21,NA,NA,0
France,5,None,2003-04-25,0,21/Apr/2003,1,NA,NA,0
Germany,7,None,2003-04-25,0,25/Apr/2003,6,NA,NA,0
India,1,None,2003-04-25,0,21/Apr/2003,1,NA,NA,0
Indonesia,1,None,2003-04-25,0,23/Apr/2003,1,NA,NA,0
Italy,4,None,2003-04-25,0,24/Apr/2003,3,NA,NA,0
Japan,2,None,2003-04-25,0,24/Apr/2003,0,NA,NA,0
Kuwait,1,None,2003-04-25,0,20/Apr/2003,1,NA,NA,0
Malaysia,5,None,2003-04-25,0,24/Apr/2003,2,NA,NA,2
Mongolia,3,None,2003-04-25,0,17/Apr/2003,3,NA,NA,0
Philippines,2,None,2003-04-25,0,21/Apr/2003,1,NA,NA,1
Republic of Ireland,1,None,2003-04-25,0,24/Apr/2003,1,NA,NA,0
Romania,1,None,2003-04-25,0,22/Apr/2003,1,NA,NA,0
Singapore,195,Yes,2003-04-25,3,25/Apr/2003,126,NA,NA,19
South Africa,1,None,2003-04-25,0,9/Apr/2003,0,NA,NA,0
Spain,1,None,2003-04-25,0,24/Apr/2003,1,NA,NA,0
Sweden,3,None,2003-04-25,0,23/Apr/2003,2,NA,NA,0
Switzerland,1,None,2003-04-25,0,21/Apr/2003,1,NA,NA,0
Thailand,8,None,2003-04-25,0,24/Apr/2003,5,NA,NA,2
United Kingdom,6,Yes,2003-04-25,0,25/Apr/2003,6,NA,NA,0
United States,39,Yes,2003-04-25,2,24/Apr/2003,NA,NA,NA,0
Viet Nam,63,Yes,2003-04-25,0,25/Apr/2003,53,NA,NA,5
Total,4649,NA,2003-04-25,210,NA,2206,NA,NA,274
Australia,4,None  ,2003-04-26,0,23-Apr-2003  ,3,NA,NA,0
Brazil,2,None  ,2003-04-26,0,24-Apr-2003  ,2,NA,NA,0
Bulgaria,1,None  ,2003-04-26,0,24-Apr-2003  ,0,NA,NA,0
Canada,142,Yes  ,2003-04-26,2,26-Apr-2003  ,77,NA,NA,18
China,2753,Yes  ,2003-04-26,154,26-Apr-2003  ,1285,NA,NA,122
China Hong Kong Special Administrative Region5,1527,Yes  ,2003-04-26,17,26-Apr-2003  ,632,NA,NA,121
China Taiwan,49,Yes  ,2003-04-26,8,25-Apr-2003  ,25,NA,NA,0
France,5,None  ,2003-04-26,0,21-Apr-2003  ,1,NA,NA,0
Germany,7,None  ,2003-04-26,0,25-Apr-2003  ,6,NA,NA,0
India,1,None  ,2003-04-26,0,21-Apr-2003  ,1,NA,NA,0
Indonesia,1,None  ,2003-04-26,0,23-Apr-2003  ,1,NA,NA,0
Italy,4,None  ,2003-04-26,0,24-Apr-2003  ,3,NA,NA,0
Japan,2,None  ,2003-04-26,0,26-Apr-2003  ,0,NA,NA,0
Kuwait,1,None  ,2003-04-26,0,20-Apr-2003  ,1,NA,NA,0
Malaysia,5,None  ,2003-04-26,0,24-Apr-2003  ,2,NA,NA,2
Mongolia,5,None  ,2003-04-26,2,26-Apr-2003  ,3,NA,NA,0
Philippines,4,None  ,2003-04-26,2,26-Apr-2003  ,1,NA,NA,2
Republic of Ireland,1,None  ,2003-04-26,0,24-Apr-2003  ,1,NA,NA,0
Romania,1,None  ,2003-04-26,0,22-Apr-2003  ,1,NA,NA,0
Singapore,198,Yes  ,2003-04-26,3,26-Apr-2003  ,126,NA,NA,21
South Africa,1,None  ,2003-04-26,0,9-Apr-2003  ,0,NA,NA,0
Spain,1,None  ,2003-04-26,0,24-Apr-2003  ,1,NA,NA,0
Sweden,3,None  ,2003-04-26,0,23-Apr-2003  ,2,NA,NA,0
Switzerland,1,None  ,2003-04-26,0,21-Apr-2003  ,1,NA,NA,0
Thailand,7,None  ,2003-04-26,0,26-Apr-2003  ,5,NA,NA,2
United Kingdom,6,Yes  ,2003-04-26,0,26-Apr-2003  ,6,NA,NA,0
United States,41,Yes  ,2003-04-26,2,25-Apr-2003  ,NA,NA,NA,0
Viet Nam,63,Yes  ,2003-04-26,0,26-Apr-2003  ,53,NA,NA,5
Total,4836, ,2003-04-26,190, ,2239,NA,NA,293
Australia,4,None,2003-04-28,0,28/Apr/2003,3,NA,NA,0
Brazil,2,None,2003-04-28,0,24/Apr/2003,2,NA,NA,0
Bulgaria,1,None,2003-04-28,0,24/Apr/2003,0,NA,NA,0
Canada,142,Yes,2003-04-28,0,28/Apr/2003,77,NA,NA,18
China,2914,Yes,2003-04-28,161,27/Apr/2003,1299,NA,NA,131
China Hong Kong Special Administrative Region^5,1557,Yes,2003-04-28,30,28/Apr/2003,710,NA,NA,138
China Taiwan,66,Yes,2003-04-28,17,28/Apr/2003,25,NA,NA,0
France,5,None,2003-04-28,0,21/Apr/2003,1,NA,NA,0
Germany,7,None,2003-04-28,0,28/Apr/2003,6,NA,NA,0
India,1,None,2003-04-28,0,21/Apr/2003,1,NA,NA,0
Indonesia,1,None,2003-04-28,0,23/Apr/2003,1,NA,NA,0
Italy,8,None,2003-04-28,4,28/Apr/2003,3,NA,NA,0
Japan,2,None,2003-04-28,0,28/Apr/2003,0,NA,NA,0
Kuwait,1,None,2003-04-28,0,20/Apr/2003,1,NA,NA,0
Malaysia,6,None,2003-04-28,1,28/Apr/2003,2,NA,NA,2
Mongolia,5,None,2003-04-28,0,26/Apr/2003,3,NA,NA,0
Philippines,4,None,2003-04-28,0,28/Apr/2003,1,NA,NA,2
Republic of Ireland,1,None,2003-04-28,0,24/Apr/2003,1,NA,NA,0
Romania,1,None,2003-04-28,0,22/Apr/2003,1,NA,NA,0
Singapore,199,Yes,2003-04-28,1,28/Apr/2003,137,NA,NA,23
South Africa,1,None,2003-04-28,0,9/Apr/2003,0,NA,NA,0
Spain,1,None,2003-04-28,0,24/Apr/2003,1,NA,NA,0
Sweden,3,None,2003-04-28,0,23/Apr/2003,2,NA,NA,0
Switzerland,1,None,2003-04-28,0,21/Apr/2003,1,NA,NA,0
Thailand,7,None,2003-04-28,0,26/Apr/2003,5,NA,NA,2
United Kingdom,6,Yes,2003-04-28,0,28/Apr/2003,6,NA,NA,0
United States,41,Yes,2003-04-28,0,25/Apr/2003,NA,NA,NA,0
Viet Nam,63,None,2003-04-28,0,28/Apr/2003,53,NA,NA,5
Total,5050,NA,2003-04-28,214,NA,2342,NA,NA,321
Australia,4,None,2003-04-29,0,28/Apr/2003,3,NA,NA,0
Brazil,2,None,2003-04-29,0,24/Apr/2003,2,NA,NA,0
Bulgaria,1,None,2003-04-29,0,24/Apr/2003,0,NA,NA,0
Canada,146,Yes,2003-04-29,4,29/Apr/2003,86,NA,NA,20
China^5,3303,Yes,2003-04-29,405,29/Apr/2003,1322,NA,NA,148
China Hong Kong Special Administrative Region^6,1572,Yes,2003-04-29,15,29/Apr/2003,759,NA,NA,150
China Taiwan,66,Yes,2003-04-29,0,29/Apr/2003,25,NA,NA,0
France,5,None,2003-04-29,0,21/Apr/2003,1,NA,NA,0
Germany,7,None,2003-04-29,0,29/Apr/2003,6,NA,NA,0
India,1,None,2003-04-29,0,21/Apr/2003,1,NA,NA,0
Indonesia,1,None,2003-04-29,0,23/Apr/2003,1,NA,NA,0
Italy,9,None,2003-04-29,1,29/Apr/2003,4,NA,NA,0
Japan,2,None,2003-04-29,0,28/Apr/2003,0,NA,NA,0
Kuwait,1,None,2003-04-29,0,20/Apr/2003,1,NA,NA,0
Malaysia,6,None,2003-04-29,0,29/Apr/2003,3,NA,NA,2
Mongolia,5,None,2003-04-29,0,26/Apr/2003,3,NA,NA,0
Philippines,4,None,2003-04-29,0,28/Apr/2003,1,NA,NA,2
Republic of Ireland,1,None,2003-04-29,0,24/Apr/2003,1,NA,NA,0
Republic of Korea,1,None,2003-04-29,1,29/Apr/2003,0,NA,NA,0
Romania,1,None,2003-04-29,0,22/Apr/2003,1,NA,NA,0
Singapore,201,Yes,2003-04-29,2,29/Apr/2003,139,NA,NA,24
